prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
佐賀,2009,8271,27.415622237567113,828781.0,-0.46367448199050065,13.627711225514156,3,-1.391023445971502
兵庫,2009,90670,33.43276950065225,5570618.0,-0.008899193196680871,15.533016557274834,3,-0.02669757959004261
千葉,2009,96400,7.7578900082776,6311190.0,-1.9494035926028013,15.657834806277036,3,-5.848210777808404
和歌山,2009,13962,46.4366610498149,964598.0,0.9739334143738684,13.779466713216559,3,2.9218002431216052
埼玉,2009,113632,12.19376327999905,7377288.0,-1.614140807765194,15.813916649364657,3,-4.842422423295582
大分,2009,9495,39.00662127000445,1160218.0,0.4123718738506981,13.964118476460206,3,1.2371156215520944
大阪,2009,193325,17.783744614549438,10725709.0,-1.1916506700601754,16.188154127819477,3,-3.5749520101805263
奈良,2009,15478,35.50260287463157,1362781.0,0.14753857195183245,14.125038022787404,3,0.44261571585549736
宮城,2009,25859,20.37070067118007,2303098.0,-0.9961288328319627,14.64976573108895,3,-2.9883864984958883
宮崎,2009,9602,50.01463976760754,1103755.0,1.244356628820509,13.914228560901371,3,3.733069886461527
富山,2009,8740,43.294721943217034,1063293.0,0.7364660229171697,13.876881254339034,3,2.209398068751509
山口,2009,13025,38.18173809978662,1383079.0,0.35002729999284743,14.139822731213604,3,1.0500818999785424
山形,2009,8003,38.47504315257469,1095383.0,0.37219526169534867,13.906614631766379,3,1.1165857850860461
山梨,2009,8134,61.35151765963628,832769.0,2.1011965384896256,13.632511571766825,3,6.303589615468876
岐阜,2009,27928,34.803978168759436,2044114.0,0.09473659811272184,14.530475001744605,3,0.2842097943381655
岡山,2009,25862,34.5186564779249,1911722.0,0.07317201797613941,14.463514964532704,3,0.21951605392841822
岩手,2009,8240,37.59918131481275,1250142.0,0.3059977260865155,14.038767702826492,3,0.9179931782595465
島根,2009,5157,42.33789124458688,686126.0,0.6641488702415322,13.438816563311503,3,1.9924466107245968
広島,2009,28853,41.40092484685926,2838632.0,0.593333059112754,14.85883280394658,3,1.779999177338262
徳島,2009,7389,47.73623829676473,750519.0,1.072155311221455,13.528520246190894,3,3.216465933664365
愛媛,2009,16827,57.21635612050778,1381761.0,1.7886615113508608,14.138869330582946,3,5.365984534052583
愛知,2009,145807,10.883867203704943,15130618.0,-1.7131426005318728,16.532230930931686,3,-5.139427801595619
新潟,2009,22189,38.591502737018445,2259309.0,0.3809972635132434,14.630569572284342,3,1.1429917905397302
東京,2009,205708,16.955522243991485,27481464.0,-1.2542476202905202,17.129022299008525,3,-3.7627428608715605
栃木,2009,25990,18.515072814739696,1976121.0,-1.136376969932374,14.49664639023299,3,-3.4091309097971223
沖縄,2009,13738,17.74619335350651,1475800.0,-1.1944887899928782,14.204710773606402,3,-3.583466369978635
滋賀,2009,15258,21.63035830865412,1420080.0,-0.9009240554155826,14.166223766018685,3,-2.702772166246748
熊本,2009,17015,35.4484955253761,1780079.0,0.14344914480178017,14.392168303305887,3,0.4303474344053405
石川,2009,8812,23.969825602776154,1145948.0,-0.7241073900108305,13.951742800009185,3,-2.1723221700324915
神奈川,2009,98216,25.07439573979091,14462286.0,-0.6406241078023847,16.48705485348609,3,-1.921872323407154
福井,2009,6369,50.37581488422377,786503.0,1.2716542020363042,13.575351815840646,3,3.814962606108913
福岡,2009,86057,23.005781585190512,4546317.0,-0.7969697244923494,15.329828012595692,3,-2.390909173477048
福島,2009,19527,31.14665666094769,1901053.0,-0.18168333515547966,14.457918501145048,3,-0.545050005466439
秋田,2009,5740,31.544540536562607,1000223.0,-0.15161131821328477,13.81573353310347,3,-0.4548339546398543
群馬,2009,24110,35.37874920856942,1981202.0,0.13817772630706265,14.49921428918491,3,0.41453317892118796
茨城,2009,42491,8.279642799800818,2936184.0,-1.909969577434242,14.892621337052569,3,-5.729908732302726
長崎,2009,9199,37.30671146027262,1365391.0,0.28389288857024414,14.126951392469568,3,0.8516786657107325
長野,2009,20164,56.24581769386356,2101891.0,1.7153083301896734,14.558347973698664,3,5.1459249905690205
青森,2009,9987,25.077956956509244,1292709.0,-0.6403549514579032,14.072250574420002,3,-1.9210648543737097
静岡,2009,41069,36.26075695912359,3624152.0,0.20483976928837402,15.103130887870297,3,0.6145193078651221
