year,경찰서,살인,강도,절도,폭력,total,lat,lon,tri,province,pop,density,elevation,grdp_per_capita,median_age,young_male_ratio
2019,충남당진서,5,1,543,730,1279,36.8941922,126.6402322,122.17539760249348,충남,141333.33333333334,257.7194262095794,70.0,52.4,44.8,0.112
2019,충남홍성서,2,0,328,368,698,36.5883744,126.6579422,156.0057436661503,충남,141333.33333333334,257.7194262095794,55.0,52.4,44.8,0.112
2019,충남예산서,0,0,249,296,545,36.6804024,126.8472902,182.33387649800767,충남,141333.33333333334,257.7194262095794,38.0,52.4,44.8,0.112
2019,충남부여서,2,0,234,197,433,36.2753229,126.9026589,129.85258633066255,충남,141333.33333333334,257.7194262095794,16.0,52.4,44.8,0.112
2019,충남서천서,1,1,120,161,283,36.0097096,126.6919951,50.41621273055755,충남,141333.33333333334,257.7194262095794,7.0,52.4,44.8,0.112
2019,충남금산서,1,0,169,151,321,36.1037167,127.5036315,292.8149799228066,충남,141333.33333333334,257.7194262095794,167.0,52.4,44.8,0.112
2019,충남청양서,0,0,58,74,132,36.4592,126.8022,272.27044696490657,충남,141333.33333333334,257.7194262095794,115.0,52.4,44.8,0.112
2019,충남태안서,1,0,207,271,479,36.7456,126.2978,143.0898498429628,충남,141333.33333333334,257.7194262095794,47.0,52.4,44.8,0.112
2019,전북고창서,0,1,159,203,363,35.441401,126.6951615,280.0014167938555,전북,117066.66666666669,217.62300161110423,53.0,28.9,46.8,0.106
2019,전북군산서,5,7,925,1640,2577,35.9675,126.7369,57.82544369591093,전북,117066.66666666669,217.62300161110423,26.0,28.9,46.8,0.106
2019,전북김제서,1,0,219,387,607,35.798031,126.8968826,25.49493256128127,전북,117066.66666666669,217.62300161110423,20.0,28.9,46.8,0.106
2019,전북남원서,3,2,202,352,559,35.4141793,127.3728919,337.38012292659084,전북,117066.66666666669,217.62300161110423,110.0,28.9,46.8,0.106
2019,전북무주서,0,0,51,105,156,36.0038834,127.6701917,477.0773214428938,전북,117066.66666666669,217.62300161110423,204.0,28.9,46.8,0.106
2019,전북부안서,0,1,187,248,436,35.7317623,126.7212646,77.95433349920798,전북,117066.66666666669,217.62300161110423,14.0,28.9,46.8,0.106
2019,전북순창서,0,1,72,81,154,35.3772318,127.1366138,282.50515889280484,전북,117066.66666666669,217.62300161110423,95.0,28.9,46.8,0.106
2019,전북완주서,0,0,217,345,562,35.9273449,127.1672517,226.98381795892428,전북,117066.66666666669,217.62300161110423,30.0,28.9,46.8,0.106
2019,전북익산서,11,2,1093,1612,2718,35.9538784,126.9398534,47.15417275566401,전북,117066.66666666669,217.62300161110423,15.0,28.9,46.8,0.106
2019,전북임실서,1,0,39,76,116,35.6137978,127.2881258,263.19417640023585,전북,117066.66666666669,217.62300161110423,244.0,28.9,46.8,0.106
2019,전북장수서,0,0,42,61,103,35.6469414,127.5165461,577.136423039217,전북,117066.66666666669,217.62300161110423,416.0,28.9,46.8,0.106
2019,전북전주덕진서,6,5,1055,1355,2421,35.8468,127.1197,140.35659906073406,전북,117066.66666666669,217.62300161110423,40.0,28.9,46.8,0.106
2019,전북전주완산서,6,5,1150,1632,2793,35.8012,127.1081,250.5261880419606,전북,117066.66666666669,217.62300161110423,59.0,28.9,46.8,0.106
2019,전북정읍서,1,1,363,501,866,35.5675486,126.8576,257.0547981094196,전북,117066.66666666669,217.62300161110423,42.0,28.9,46.8,0.106
2019,전북진안서,0,0,44,76,120,35.7914913,127.4259426,326.7753242709963,전북,117066.66666666669,217.62300161110423,297.0,28.9,46.8,0.106
2019,전남목포서,4,8,1225,2054,3291,34.7985011,126.3970888,93.74131014801078,전남,81681.81818181818,145.6830158086745,3.0,35.2,49.2,0.095
